Index,Gene
5187,SYT12
5188,P2RX5
5189,ZNF142
5190,C3ORF67
5191,OR8B4
5192,UCKL1
5193,CYP2E1
5194,TMPRSS3
5195,ZNF532
5196,CAMSAP2
5197,FAM71F2
5198,NKAP
5199,DEFA4
5200,PLAGL1
5201,LSM1
5202,DEM1
5203,LRP3
5204,KIAA1755
5205,OR11H6
5206,PNPLA6
5207,USP14
5208,KPNB1
5209,RORB
5210,ARMC9
5211,SMARCA5
5212,ZC3H15
5213,IFI27
5214,ITGA4
5215,JPH1
5216,ZNF771
5217,NAIP
5218,MST1
5219,BSX
5220,CASC4
5221,PSMB10
5222,MLL
5223,PTPN6
5224,TMEM88
5225,TSHB
5226,GABRB2
5227,CAP1
5228,CACNB1
5229,INTS3
5230,C2ORF49
5231,ANKRD13C
5232,ASB7
5233,SPRY1
5234,LACTB2
5235,ZNF280D
5236,NFIA
5237,L1TD1
5238,EYA4
5239,EXOSC7
5240,CDR2
5241,HPX
5242,FCAMR
5243,TMEM26
5244,SYPL2
5245,HOXA3
5246,TFAP2C
5247,CNTLN
5248,RBM27
5249,DGKA
5250,PIKFYVE
5251,DBF4B
5252,SH2D4A
5253,CCDC30
5254,TG
5255,CSNK2A1
5256,TRIM46
5257,LRRC46
5258,IQCG
5259,DHRS1
5260,ACP6
5261,CCL3L3
5262,ZNF154
5263,LMF1
5264,FAM171A2
5265,SRA1
5266,ECT2
5267,CCL5
5268,OR13C4
5269,FAM48A
5270,PIGK
5271,ACTR1A
5272,GALK2
5273,SRSF3
5274,CXORF66
5275,MGAT4A
5276,RND2
5277,RHEB
5278,NDOR1
5279,SOX5
5280,MLST8
5281,DYNC1H1
5282,C1QTNF3
5283,TEX29
5284,HIPK1
5285,AKT2
5286,BCAS3
5287,HLA-G
5288,RFX2
5289,PTPRZ1
5290,LOC390940
5291,NR1H3
5292,RBM19
5293,PDE4D
5294,CD14
5295,SMR3A
5296,DUSP22
5297,GEMIN5
5298,RASA4
5299,B4GALT3
5300,NPAS1
5301,FAM154B
5302,AKAP8
5303,PPIL2
5304,ZNF251
5305,PARP1
5306,CTSL2
5307,ZNF44
5308,LRCH1
5309,FES
5310,ZNF639
5311,ANKRD20A1
5312,POU2F1
5313,GAGE12J
5314,CDRT1
5315,SLITRK2
5316,DHRS4L1
5317,OR4C13
5318,DEFB131
5319,EIF3C
5320,WFDC3
5321,RASA2
5322,ODF2
5323,S100A7A
5324,TTLL13
5325,HBA1
5326,HIATL1
5327,C11ORF52
5328,ACSM2B
5329,THYN1
5330,NDUFV3
5331,SLC35F1
5332,CD74
5333,SPTLC2
5334,ADI1
5335,ALKBH2
5336,AMIGO3
5337,BLVRA
5338,FBXO33
5339,RHCG
5340,NRF1
5341,ARMC2
5342,CFDP1
5343,ZCRB1
5344,EFS
5345,BCAN
5346,PHIP
5347,RALGAPA2
5348,C6ORF1
5349,INSL5
5350,PRAMEF7
5351,TFAP2E
5352,TRPM4
5353,ZNF496
5354,MED19
5355,PLEKHA2
5356,HS3ST6
5357,GRIA1
5358,UBQLNL
5359,SART3
5360,TULP1
5361,VTA1
5362,MPHOSPH9
5363,TBC1D3F
5364,NAPB
5365,ADAP1
5366,TMED10
5367,CNTF
5368,MYH9
5369,PIH1D2
5370,RGS10
5371,SIM2
5372,HIST1H2AJ
5373,GLYAT
5374,PVALB
5375,MIF
5376,RHOU
5377,DZIP3
5378,LIFR
5379,IFNAR1
5380,TECTB
5381,NAA25
5382,SMYD4
5383,MUC4
5384,SPIN4
5385,ACVR2B
5386,HGD
5387,AOC3
5388,GUCA1B
5389,LOC100507055
5390,RPS6KA1
5391,SYTL5
5392,LRRC14
5393,TREML1
5394,PAPL
5395,NCKAP5
5396,ZNF705A
5397,PIAS4
5398,SETD7
5399,ARNTL2
5400,LOC100144595
5401,KLK14
5402,DNAH2
5403,MSTN
5404,CACNG8
5405,C6ORF99
5406,TRIM39-RPP21
5407,OR4D9
5408,TBC1D3B
5409,SFI1
5410,TMEM106B
5411,P4HA1
5412,GATSL2
5413,GPATCH4
5414,KLHL4
5415,ERCC4
5416,ZNF383
5417,ABCA10
5418,SUV420H2
5419,TRPA1
5420,ICAM3
5421,C4ORF26
5422,ALX1
5423,RBP2
5424,BOLA2B
5425,RAET1E
5426,ZNF480
5427,ADCK1
5428,ST6GALNAC1
5429,TIA1
5430,A4GNT
5431,HCN3
5432,TRIB1
5433,PIK3R1
5434,BAGE
5435,SETMAR
5436,MBD4
5437,KIF21B
5438,SPATA5
5439,PHF17
5440,DHRS7C
5441,EIF2B3
5442,APLF
5443,PYY
5444,PAG1
5445,SYCP2L
5446,WBSCR17
5447,C22ORF28
5448,GATSL1
5449,WNT9A
5450,CCDC74A
5451,TAPBPL
5452,SFTPB
5453,HSPBP1
5454,CPSF3
5455,GRM5
5456,PBX2
5457,IL27RA
5458,BMP10
5459,TLX2
5460,SHKBP1
5461,APBA3
5462,EIF2AK3
5463,PSKH2
5464,CA5B
5465,ABCA9
5466,SFT2D3
5467,CCDC83
5468,FAM50A
5469,OR6C1
5470,NME5
5471,BCKDK
5472,BSND
5473,KCNE4
5474,KRTAP4-3
5475,ANKS4B
5476,FAM49A
5477,MICU1
5478,CLDND2
5479,KIAA1210
5480,CNTN4
5481,ABCB9
5482,CPM
5483,TLR7
5484,CDY1B
5485,R3HDM4
5486,MAGEB6
5487,LDOC1L
5488,DUX4L3
5489,OCA2
5490,BRE
5491,TLR9
5492,PAIP2B
5493,ADAM21
5494,AKT3
5495,RAD23B
5496,FZD7
5497,GPR101
5498,ADRA1A
5499,ACP2
5500,USP9Y
5501,B4GALT1
5502,TTC18
5503,C15ORF60
5504,FAM190A
5505,SLC29A3
5506,JOSD2
5507,PSPN
5508,OR5R1
5509,SPOPL
5510,MPDZ
5511,EIF4E2
5512,A4GALT
5513,GJA8
5514,ZNF626
5515,YAF2
5516,FAM86C1
5517,SF3B5
5518,COL3A1
5519,KCND2
5520,XPO1
5521,MUC13
5522,PECAM1
5523,SLC5A8
5524,C22ORF13
5525,C9ORF156
5526,TGFA
5527,CT45A4
5528,SPRR1A
5529,ASCL1
5530,MYT1
5531,SLC12A2
5532,HS3ST3B1
5533,SYNGR2
5534,TIMM9
5535,C3ORF80
5536,DPH3
5537,HEATR1
5538,CDC14B
5539,ABL1
5540,URI1
5541,EEF1A2
5542,C10ORF111
5543,PLTP
5544,ZNF334
5545,NAALADL1
5546,CXCR7
5547,CDH23
5548,PRL
5549,HTR4
5550,C1ORF185
5551,CLEC17A
5552,PAQR8
5553,SLC22A24
5554,RABGEF1
5555,KRTAP19-8
5556,GATA5
5557,INCENP
5558,TBL1X
5559,DDB2
5560,GMEB1
5561,C8B
5562,LIMS3
5563,ETHE1
5564,PRSS23
5565,LOC284385
5566,MUC20
5567,ZNF277
5568,METTL24
5569,COMMD9
5570,FAM190B
5571,ATP6V1A
5572,ASL
5573,LPHN1
5574,PLAC4
5575,GSTM4
5576,FAM24B
5577,TAF9
5578,ZNF529
5579,PRAMEF18
5580,ZBTB8A
5581,ZNF709
5582,GPR56
5583,ZNF528
5584,APBB1IP
5585,ARFRP1
5586,EBAG9
5587,ATL1
5588,C1QTNF8
5589,FGFR1
5590,C9ORF139
5591,NPAS4
5592,USP17L2
5593,OCEL1
5594,ABCB11
5595,BSPH1
5596,RELN
5597,OR2AT4
5598,C5ORF63
5599,AAMP
5600,IFNA21
5601,OSCAR
5602,PRSS41
5603,NSMCE2
5604,MAPKAPK3
5605,CAPN10
5606,LRRC24
5607,DPM1
5608,BAI3
5609,NEIL1
5610,DKK4
5611,STRN3
5612,CCDC37
5613,CNTFR
5614,KLHL5
5615,CDK16
5616,MIP
5617,BPY2B
5618,NIPBL
5619,ARHGEF3
5620,SERPINE2
5621,CRISPLD2
5622,ARL5C
5623,PPAN
5624,PCOLCE2
5625,CYP2A6
5626,OR52D1
5627,RBM6
5628,DUSP2
5629,KLRC1
5630,PAEP
5631,HIST1H2BM
5632,TRIM49L2
5633,PPP1R8
5634,MKI67
5635,PI16
5636,RNF217
5637,ITGA3
5638,NOL12
5639,TRIM28
5640,PRAMEF11
5641,KRTAP12-1
5642,FAM83E
5643,KIAA1751
5644,ALDH7A1
5645,GTF3C4
5646,TBC1D22A
5647,RBM25
5648,MUM1
5649,CTF1
5650,RHPN1
5651,GSTP1
5652,KRTAP7-1
5653,RPL29
5654,TRMU
5655,TM9SF4
5656,UBR3
5657,KLF11
5658,XBP1
5659,OPLAH
5660,ABCC8
5661,CCDC158
5662,SMPD4
5663,TOP2A
5664,PRAMEF8
5665,MGEA5
5666,SSX2
5667,ST8SIA5
5668,COL9A1
5669,C7ORF57
5670,PSMF1
5671,APOD
5672,ID2
5673,CLDN2
5674,CAB39L
5675,IL22RA2
5676,RBMY1B
5677,PFDN2
5678,BRD1
5679,PKLR
5680,LOC100129083
5681,IRF9
5682,KANK1
5683,CCDC11
5684,MMP16
5685,TAS2R14
5686,TMEM35
5687,TMX1
5688,MRPL3
5689,NMNAT1
5690,GPR88
5691,ERMN
5692,SUPT3H
5693,GMNC
5694,HP
5695,TSSK6
5696,PDHA1
5697,GCAT
5698,SOX1
5699,KIFC3
5700,EDDM3A
5701,IL31RA
5702,GIPC1
5703,MMD2
5704,HTR2C
5705,PHTF2
5706,PEX11G
5707,C1ORF54
5708,PSG5
5709,LYSMD3
5710,CSN2
5711,C20ORF111
5712,C1QL1
5713,IQCF3
5714,SH3GLB1
5715,GYS1
5716,WASF1
5717,PRCC
5718,EMP2
5719,RNASE6
5720,CDK3
5721,FAM73A
5722,ZC3HC1
5723,HNRNPF
5724,PPM1J
5725,C1ORF194
5726,ABCB1
5727,KCMF1
5728,CPLX2
5729,OLFML3
5730,PITX3
5731,TCEB1
5732,DBC1
5733,IL10RA
5734,PRMT1
5735,SULT6B1
5736,CLDN19
5737,S100A13
5738,FEV
5739,LAMTOR1
5740,KRTAP19-6
5741,SMC6
5742,PNPT1
5743,ZBTB22
5744,TSGA10IP
5745,PPP1R11
5746,C16ORF42
5747,MAGEF1
5748,CETN1
5749,MAGI1
5750,SLC15A5
5751,NUDCD2
5752,ATP8B4
5753,SSBP3
5754,KIF5C
5755,AHRR
5756,RPS29
5757,PRPSAP2
5758,HIST1H2AD
5759,HES5
5760,VN1R2
5761,CXORF21
5762,SPATA2
5763,PSMC2
5764,MARCH10
5765,PID1
5766,PRPF4B
5767,C4ORF37
5768,HDGFRP3
5769,SDC3
5770,HIST3H3
5771,LGALS7
5772,ADCY4
5773,PRAMEF13
5774,DNAJC27
5775,C5ORF4
5776,ULBP1
5777,POLD4
5778,CS
5779,TBX10
5780,PAWR
5781,HIST4H4
5782,SEC61A2
5783,MPV17
5784,SH3RF2
5785,KLHL8
5786,TCTN3
5787,MMP13
5788,SEL1L2
5789,BTN3A2
5790,FTSJ2
5791,TPK1
5792,USP12
5793,STK11IP
5794,FOXP2
5795,TRIM50
5796,ELANE
5797,CRTAM
5798,C2ORF57
5799,C6ORF25
5800,FJX1
5801,LIN7C
5802,KCNK15
5803,NAGPA
5804,RAB15
5805,CD86
5806,IL32
5807,AK5
5808,CUX1
5809,LMCD1
5810,PCSK5
5811,OR56A1
5812,CD1E
5813,GLRX5
5814,SIGLEC9
5815,SGSM2
5816,TTC23
5817,BTC
5818,CNTN5
5819,RHBDD3
5820,NUDT11
5821,CXORF51A
5822,PRPH2
5823,YOD1
5824,SV2C
5825,LBP
5826,HIST3H2A
5827,BRI3BP
5828,HIST1H3I
5829,FABP2
5830,IMMT
5831,OR10H1
5832,CAPN6
5833,NCAPD2
5834,A2ML1
5835,ACY3
5836,SH3BP5L
5837,HR
5838,ASB13
5839,FAM209B
5840,PNLDC1
5841,NETO1
5842,ZBTB7C
5843,GSC2
5844,KRTAP23-1
5845,DEPTOR
5846,NCOR2
5847,SPTB
5848,BMP7
5849,SLMO2
5850,ZNF551
5851,ACAP3
5852,PKNOX1
5853,RG9MTD3
5854,ACACA
5855,ANKRD40
5856,FERD3L
5857,FAM71B
5858,RTN4RL2
5859,TUFT1
5860,ZNF624
5861,ZNF323
5862,MMAA
5863,LAPTM4B
5864,WNT6
5865,IQGAP3
5866,DDX6
5867,CTSO
5868,JRKL
5869,LILRA5
5870,ZNF750
5871,C3ORF32
5872,CFHR2
5873,RSPH3
5874,TIGD5
5875,FZD1
5876,ANP32C
5877,TGM7
5878,SPRY3
5879,FAM133B
5880,SLC25A21
5881,WFIKKN2
5882,FAM45A
5883,TAF1
5884,ST3GAL5
5885,PHACTR3
5886,EIF2C4
5887,PRDM9
5888,IL17D
5889,ZC2HC1B
5890,DOCK5
5891,BDP1
5892,PRKG2
5893,EAF2
5894,LBH
5895,DOCK7
5896,XPO6
5897,MAEL
5898,TMEM198
5899,RFXAP
5900,ZNF264
5901,LY96
5902,GNB2L1
5903,LCE3C
5904,DCTN3
5905,CCRN4L
5906,FAT4
5907,SSTR3
5908,IFNA4
5909,RSU1
5910,KRTAP3-2
5911,PTX3
5912,PLD6
5913,CCKBR
5914,WDR76
5915,TAS2R46
5916,ITGA1
5917,PRAMEF16
5918,DRD1
5919,CSRP2
5920,CYTL1
5921,TCAP
5922,TTYH1
5923,PRF1
5924,TNIK
5925,FBXL16
5926,NAV1
5927,ST6GALNAC3
5928,SYT15
5929,KIAA1147
5930,MRPL38
5931,MOGS
5932,USP17L3
5933,FCHO1
5934,LOC100127983
5935,CHSY1
5936,MRPL24
5937,CLSTN3
5938,TMEM68
5939,C3ORF38
5940,NAAA
5941,CDCP1
5942,PLEKHH2
5943,PIGW
5944,CNTROB
5945,ZNF845
5946,C6ORF47
5947,SH2B1
5948,NLRP8
5949,OR8G1
5950,NLRP6
5951,SOX17
5952,SH2D5
5953,SLC18A1
5954,GPR78
5955,SPINK9
5956,PDZRN3
5957,CCDC132
5958,SLC7A2
5959,OR10V1
5960,KREMEN1
5961,PROP1
5962,ADAM7
5963,FPR2
5964,STEAP1
5965,INPP5K
5966,CCNT1
5967,SLN
5968,AICDA
5969,TRIM49
5970,NR1H2
5971,ANKRD42
5972,TAS2R31
5973,SLAMF6
5974,DRD5
5975,KRT12
5976,POLDIP3
5977,IGIP
5978,KCNK9
5979,ENHO
5980,LRRC1
5981,LRBA
5982,YPEL4
5983,IFNA10
5984,OR4F3
5985,ATP2B2
5986,SPP2
5987,FBXO11
5988,KCTD20
5989,RNF17
5990,TMEM114
5991,SYNDIG1
5992,PCNXL2
5993,C7ORF25
5994,LRRC70
5995,ITGB3
5996,VANGL1
5997,YTHDF3
5998,DHPS
5999,CFHR3
6000,C10ORF35
6001,ARMC1
6002,TPP2
6003,ATP5G2
6004,SFR1
6005,FAM83G
6006,GPR155
6007,USP40
6008,PNMA1
6009,WDR77
6010,CEP164
6011,ZNF414
6012,FAM20B
6013,INPP4A
6014,ZNF133
6015,EPHB3
6016,GABRE
6017,NUP62CL
6018,GFM2
6019,DCAKD
6020,YPEL5
6021,CXCL12
6022,LGR5
6023,SLC25A29
6024,TWIST1
6025,ZFAND5
6026,COL6A5
6027,IRF6
6028,GSTA5
6029,ANP32A
6030,P2RY8
6031,SLC48A1
6032,ZNF527
6033,THSD7B
6034,CT45A6
6035,SPG7
6036,TTC17
6037,DLK2
6038,MYEOV2
6039,RNH1
6040,CA10
6041,SIDT2
6042,KIF13A
6043,PQBP1
6044,SEMG2
6045,MUC7
6046,OR9Q2
6047,FAM127A
6048,NHLRC2
6049,ZNF275
6050,LOC100130348
6051,TADA2A
6052,HECTD3
6053,DPF2
6054,PIAS1
6055,C17ORF49
6056,ADAMTSL3
6057,DDI1
6058,AGPAT6
6059,GALNT7
6060,SH3D21
6061,MALT1
6062,MLLT10
6063,RPS10-NUDT3
6064,AMBN
6065,ADK
6066,BIRC5
6067,CDRT15L2
6068,CNTNAP1
6069,LEPRE1
6070,HPN
6071,DNAH3
6072,OR2T2
6073,SLC25A22
6074,CFHR5
6075,PPP1R3A
6076,TTC39B
6077,PTTG1
6078,STK4
6079,INTS7
6080,COX4I1
6081,ZNF799
6082,C6ORF141
6083,ARHGAP5
6084,BCCIP
6085,NOXRED1
6086,HAS2
6087,TRMT1
6088,SUMO3
6089,LPPR1
6090,PTRHD1
6091,PSMD13
6092,PSMA1
6093,ZC3H12D
6094,ADM2
6095,FAM170A
6096,GADD45B
6097,AR
6098,KRT80
6099,POTEG
6100,ESRRB
6101,FAM19A4
6102,TEAD2
6103,HOXD8
6104,KRI1
6105,HLA-DMA
6106,ZSWIM5
6107,MFNG
6108,ZNF589
6109,FASTKD2
6110,ZNF777
6111,C17ORF102
6112,RBMX
6113,MRPL16
6114,PURA
6115,ENTHD1
6116,SNX24
6117,ZNF620
6118,LOC283710
6119,BPIFB3
6120,RIMS4
6121,HMGA2
6122,FRMD4A
6123,C16ORF58
6124,HMGCL
6125,ANO5
6126,CALR
6127,B3GALNT2
6128,MICA
6129,GABARAPL1
6130,DYNC2H1
6131,SLC2A2
6132,EPN1
6133,ABI3
6134,HOXB2
6135,LIMK2
6136,PHB
6137,MFSD9
6138,MDM2
6139,FRMD4B
6140,CYP8B1
6141,P2RY12
6142,PNMA6D
6143,C11ORF45
6144,AMOT
6145,SLCO1B3
6146,AP1G1
6147,ZBBX
6148,C8ORF85
6149,KRTAP6-2
6150,KLHDC7A
6151,TMSB15B
6152,ANKRD49
6153,SOX14
6154,RHOXF2
6155,FKBP1A
6156,LSR
6157,ARPC3
6158,ACTR3C
6159,RTP4
6160,NUFIP2
6161,SFT2D1
6162,GDE1
6163,C1RL
6164,AADACL2
6165,KRT26
6166,CYSLTR1
6167,UBE2R2
6168,IL28B
6169,HCST
6170,FBXL13
6171,C9ORF24
6172,PCK1
6173,SPIN3
6174,MAFK
6175,ZBTB48
6176,RCAN2
6177,TUBGCP2
6178,FMO1
6179,ZNF260
6180,CRYZ
6181,C14ORF105
6182,VASH2
6183,C17ORF70
6184,SLC17A1
6185,SPATA5L1
6186,ERC1
6187,FRMD7
6188,RAB42
6189,ADAMTS1
6190,GABRP
6191,PCDHB1
6192,TYSND1
6193,HILPDA
6194,CORO7-PAM16
6195,PRDM12
6196,ZNF230
6197,DPPA3
6198,MOB1A
6199,GREM2
6200,GPATCH8
6201,ACTG2
6202,FBXO10
6203,ZFP30
6204,CNTNAP4
6205,IKBKB
6206,C4ORF19
6207,MYO15A
6208,GOT2
6209,HS3ST2
6210,TOMM34
6211,ZNF484
6212,PARL
6213,MMP25
6214,SLC22A16
6215,MYCL1
6216,GRIP1
6217,FPGT-TNNI3K
6218,APOBEC3D
6219,CCZ1B
6220,AMY1A
6221,SLC4A2
6222,COX19
6223,C17ORF101
6224,SLC6A6
6225,MRPL4
6226,COX4NB
6227,INO80C
6228,RTL1
6229,PIWIL1
6230,OCLM
6231,PRSS45
6232,ABCA12
6233,TIAM1
6234,CPSF3L
6235,TMEM123
6236,BCL7A
6237,FLYWCH2
6238,ERGIC3
6239,SRRD
6240,COMMD8
6241,CXORF30
6242,RAB11FIP5
6243,ABCC2
6244,MX2
6245,SLC25A48
6246,DPP8
6247,TSPAN33
6248,SERPINB5
6249,OR4K1
6250,EPHA6
6251,FAM189A2
6252,ANPEP
6253,CDT1
6254,OR52N5
6255,HIST1H1D
6256,C12ORF61
6257,KIF23
6258,SERHL2
6259,RALGPS2
6260,SEMA3D
6261,LOC401052
6262,CLASRP
6263,KRTAP4-1
6264,CILP
6265,MAGEA4
6266,IPO13
6267,RABL2A
6268,KLHL25
6269,YSK4
6270,ADAMTS9
6271,PSORS1C1
6272,DYNC2LI1
6273,TRAF1
6274,ATP6V1C1
6275,AZGP1
6276,CCDC124
6277,HCCS
6278,TRIM64
6279,CNOT6
6280,CHDH
6281,PSMB9
6282,ABCF2
6283,HOXD12
6284,MAFG
6285,MTERFD3
6286,RESP18
6287,SPRR2A
6288,SPTBN1
6289,GEM
6290,AQP5
6291,RPAIN
6292,CCDC38
6293,CEBPZ
6294,F11
6295,ANKRD1
6296,PRKCG
6297,RPL39
6298,ASXL1
6299,EIF4ENIF1
6300,QKI
6301,NICN1
6302,GSTT1
6303,PARP4
6304,IL12RB2
6305,MAP2K5
6306,TOP1
6307,DNMT3B
6308,CT45A1
6309,RS1
6310,ACAT1
6311,PRG2
6312,GPRIN1
6313,ADA
6314,ARSB
6315,FANCE
6316,HSFX2
6317,NBEA
6318,NAT16
6319,CTNND1
6320,GTF2H2
6321,PI3
6322,TMEM98
6323,LIX1L
6324,LIPK
6325,MTIF2
6326,LMAN1L
6327,SLC25A42
6328,WDR6
6329,SERPINH1
6330,SIK3
6331,MYO1A
6332,DHRS3
6333,PGRMC1
6334,ZNF765
6335,LAMTOR3
6336,EVX1
6337,CLCN3
6338,MIB2
6339,DEFB119
6340,KDM2A
6341,ZNF581
6342,POLE4
6343,DNAI2
6344,SCAMP2
6345,ZFP3
6346,SGK3
6347,SYCP1
6348,AKR1B15
6349,WDR67
6350,CLDN18
6351,CEP85L
6352,RELL1
6353,OR10A4
6354,GPD1
6355,TP53I13
6356,FOLR4
6357,PARP15
6358,SFPQ
6359,ADNP
6360,UNG
6361,STOML1
6362,C9ORF80
6363,WRAP73
6364,ALDOC
6365,SGSH
6366,BANP
6367,VGLL2
6368,AGAP11
6369,DSC1
6370,C21ORF58
6371,DEFB114
6372,SMARCD2
6373,PCID2
6374,CASP4
6375,CEP89
6376,CAPN7
6377,TTC24
6378,CCDC72
6379,ESPN
6380,CRELD1
6381,B3GALT4
6382,PPM1K
6383,HHATL
6384,TXN
6385,SLC9A8
6386,C16ORF54
6387,LAMA1
6388,CEACAM5
6389,UGGT1
6390,BOLA1
6391,RFX1
6392,APOA1
6393,E2F8
6394,TMC6
6395,DBH
6396,CDK2AP2
6397,SECTM1
6398,PRM1
6399,H1FOO
6400,DYDC2
6401,FGF19
6402,HMGN1
6403,RGPD5
6404,C3ORF52
6405,LEMD3
6406,JUP
6407,ARRDC3
6408,PTPN1
6409,ENTPD7
6410,C12ORF49
6411,DDHD1
6412,GTF2A1L
6413,NECAB2
6414,HCAR3
6415,EIF4E1B
6416,ZNF573
6417,TMOD4
6418,EPN3
6419,RBBP8
6420,ATF7IP2
6421,GPR20
6422,RHOB
6423,CYB5R2
6424,NPB
6425,TFRC
6426,RPL37
6427,CCDC146
6428,MGP
6429,SELM
6430,SUSD2
6431,PRDM6
6432,OR2W1
6433,SUMF2
6434,EBPL
6435,CABLES1
6436,SLC35D3
6437,GTF3C1
6438,ZNF397
6439,OTUD7A
6440,TRMT61B
6441,ZDHHC1
6442,PPA1
6443,B9D2
6444,DEFB103B
6445,MARK2
6446,APAF1
6447,HAS3
6448,GJB6
6449,GUCY1A3
6450,MGAT4B
6451,FAM155A
6452,NID2
6453,C1ORF87
6454,GUCA2A
6455,POLR1D
6456,TM4SF1
6457,RILPL2
6458,FMO2
6459,C17ORF89
6460,SSH2
6461,TSPAN9
6462,IL31
6463,ZBTB33
6464,KIAA1274
6465,TBC1D10A
6466,HFE2
6467,MAD2L1BP
6468,NAT9
6469,ECE2
6470,LRPPRC
6471,PTH1R
6472,PICALM
6473,PCDH11Y
6474,TUSC5
6475,SCGB1D2
6476,FLNC
6477,OR5T2
6478,ANLN
6479,NEDD1
6480,AGFG2
6481,FGF7
6482,CT45A2
6483,RPLP0
6484,DUS3L
6485,GPR89A
6486,MAP2K3
6487,MRPL44
6488,HIST1H3J
6489,SAMD9
6490,TM4SF19
6491,SLC37A4
6492,DFNA5
6493,POLR2I
6494,SF3B3
6495,IL17RC
6496,LTC4S
6497,PRAMEF4
6498,TIFAB
6499,IREB2
6500,SPAG6
6501,PAK2
6502,KRT86
6503,ZFP14
6504,THUMPD2
6505,RAC1
6506,PPM1D
6507,PPIAL4D
6508,TMEM241
6509,MORN3
6510,MAN2A2
6511,MT1A
6512,PNRC1
6513,C7ORF61
6514,FMNL2
6515,HRK
6516,CXORF58
6517,C4ORF34
6518,SNX1
6519,TIMD4
6520,C12ORF52
6521,LAT2
6522,P4HTM
6523,STX8
6524,SHF
6525,BMS1
6526,IQCJ-SCHIP1
6527,ARHGAP25
6528,FGR
6529,FYN
6530,OR6T1
6531,WDR20
6532,NDN
6533,GAPVD1
6534,PLEKHA7
6535,MAP7
6536,RPL22
6537,VOPP1
6538,KLHL23
6539,PALM2-AKAP2
6540,PPP2R5E
6541,VRK2
6542,C9ORF82
6543,C5ORF15
6544,FEM1A
6545,PRMT10
6546,EIF5
6547,CHD8
6548,MMP3
6549,YBX1
6550,FBP2
6551,SUMO4
6552,IGHMBP2
6553,COL25A1
6554,DNAJA3
6555,VPS52
6556,FAM163B
6557,PRSS48
6558,PLCH1
6559,DCAF5
6560,ZNF630
6561,ECI1
6562,SCRN3
6563,TCP11L2
6564,NOXO1
6565,OR6F1
6566,ATP6V1E2
6567,TIGD2
6568,LIN9
6569,HECW2
6570,CXORF22
6571,CHRNA3
6572,SUGP2
6573,PAN3
6574,MSL1
6575,KLLN
6576,PRKRIR
6577,ST7L
6578,GPR160
6579,IFT88
6580,DOPEY2
6581,YWHAG
6582,LBX1
6583,CAPN1
6584,TRIM4
6585,CCDC60
6586,MCTP2
6587,PSMC4
6588,CRYBA4
6589,SLC25A18
6590,DPY19L4
6591,JDP2
6592,OCLN
6593,C2ORF40
6594,PITPNM3
6595,FAM162A
6596,POLE3
6597,HRH1
6598,DGKH
6599,CYS1
6600,C16ORF45
6601,TM9SF3
6602,GIPR
6603,DPYD
6604,DLG5
6605,ATP1B2
6606,FBXL8
6607,PDK4
6608,TECR
6609,TNP2
6610,C3ORF77
6611,MPND
6612,PPBP
6613,CCDC63
6614,FAM89A
6615,CCL22
6616,METTL4
6617,OBP2A
6618,ECSCR
6619,GPR83
6620,EIF3M
6621,C5ORF49
6622,MTMR1
6623,DNASE1L3
6624,RIOK3
6625,CELF6
6626,CCDC19
6627,KDM4A
6628,CDKL1
6629,MRPS5
6630,JPH2
6631,HRC
6632,SUPT16H
6633,GYPC
6634,FOXRED1
6635,OR7D4
6636,C3ORF37
6637,CDX1
6638,SCAMP4
6639,HENMT1
6640,ZNF569
6641,ZFY
6642,PCDHGA7
6643,ACP5
6644,EVI2B
6645,GP2
6646,SLC35E3
6647,ESPNL
6648,ZNF830
6649,TFAP2B
6650,C5ORF54
6651,DEFB125
6652,OSBPL5
6653,NPY1R
6654,C10ORF95
6655,CD276
6656,UGT2B4
6657,SDC4
6658,TRIP12
6659,ARHGAP10
6660,THNSL2
6661,TNFRSF13B
6662,HEATR8
6663,CTPS
6664,RELT
6665,LYG1
6666,PSMA5
6667,PITX1
6668,PGLYRP2
6669,TBC1D3C
6670,FERMT3
6671,PAGE4
6672,KDELC2
6673,MAP1S
6674,AKAP5
6675,HGFAC
6676,STYK1
6677,DVL1
6678,LCN12
6679,MEOX2
6680,RGAG4
6681,RILPL1
6682,SPIN1
6683,TEPP
6684,SFMBT1
6685,IGF2BP2
6686,LMLN
6687,ALKBH5
6688,C6ORF72
6689,ORC5
6690,ALDH1A1
6691,NRXN3
6692,PATE1
6693,NLRP9
6694,PRRG3
6695,RMI2
6696,PPP1R36
6697,HAT1
6698,ZNF843
6699,SORBS2
6700,APH1A
6701,NSFL1C
6702,NLRP5
6703,TSPYL2
6704,ISG20
6705,LDHD
6706,MOV10L1
6707,CREBBP
6708,OR6K6
6709,WDFY2
6710,SNRNP35
6711,C18ORF63
6712,APOLD1
6713,OR10R2
6714,MYO6
6715,SCGB2A2
6716,UBE4B
6717,NUF2
6718,SLC25A20
6719,OSR2
6720,SLMO1
6721,PKN2
6722,SLC6A3
6723,CCDC22
6724,GPR37L1
6725,KCTD19
6726,COL27A1
6727,PPEF2
6728,VSNL1
6729,MC5R
6730,ZNF829
6731,ZSWIM3
6732,SLC22A23
6733,TNIP2
6734,C15ORF24
6735,WBSCR16
6736,RCCD1
