Index,Gene
397,TMEM9
398,FLRT1
399,GYLTL1B
400,GPM6B
401,GJC3
402,SKP1
403,LCE3A
404,P2RX6
405,CNBP
406,TROAP
407,SLC23A2
408,RPL31
409,CCNH
410,PRSS55
411,ACBD3
412,CTAGE15P
413,CDCP2
414,PRDM10
415,SYNJ2BP-COX16
416,EBF4
417,ZNF707
418,TMEM41A
419,TEKT3
420,TNXB
421,ARID4A
422,EIF4B
423,TARBP1
424,GABRA2
425,MMP15
426,IL12A
427,NANOG
428,ARL10
429,PAPOLG
430,UGT2B17
431,PIGF
432,TNNC2
433,CCDC86
434,SDK2
435,GTF2IRD2B
436,GPR110
437,C5ORF24
438,SNX3
439,C1ORF111
440,SNX2
441,KCNE3
442,ENTPD6
443,ZNF549
444,OR4A15
445,HNRNPK
446,GSTA1
447,SRGAP3
448,ST3GAL6
449,PATE3
450,IL13
451,ZNF583
452,MID2
453,ODZ1
454,MSANTD1
455,CNEP1R1
456,C4ORF45
457,CLRN2
458,TNRC6A
459,ARIH2
460,FAM213B
461,ATP1B4
462,NR0B2
463,DCAF16
464,SEPW1
465,GPX6
466,GNAT2
467,SPATA17
468,THRB
469,TAPBP
470,CHMP3
471,KRTAP20-3
472,PHF1
473,RNF128
474,VCPIP1
475,TXNDC2
476,C19ORF76
477,DERL1
478,CXCL6
479,ENAH
480,KRT23
481,ARL5B
482,PHC3
483,CECR6
484,MIER3
485,DOK6
486,SIT1
487,TMEM110
488,PLVAP
489,PROM1
490,C5ORF46
491,SLC29A2
492,TNFRSF21
493,PPP1CB
494,SPATA6
495,IQCF5
496,USP19
497,EXOC3L4
498,PNPO
499,C16ORF59
500,ZNF718
501,VN1R1
502,KBTBD8
503,SUPT4H1
504,PALM3
505,FAM171B
506,WDR27
507,JAK2
508,F8A2
509,SYDE2
510,FAM101A
511,SMEK1
512,C2ORF63
513,HNRNPA1L2
514,NR4A2
515,EIF1AY
516,GJB7
517,TAS2R38
518,GSPT2
519,CCDC51
520,C16ORF57
521,STC2
522,ACTR1B
523,SLC7A3
524,PMFBP1
